patent_no,title,
4992117,"Heat resistant aluminum alloy excellent in tensile strength, ductility and fatigue strength",
4992115,Surface treatment chemical and bath for aluminum and its alloy,
4992095,Alloy target used for manufacturing magneto-optical recording medium,
H887,Dispersion strengthened tri-titanium aluminum alloy,
4990420,Electrophotographic photoreceptor with doped Se or Se alloy interlayer,
4990410,Coated surface refined sintered alloy,
4990309,High strength copper-nickel-tin-zinc-aluminum alloy of excellent bending processability,
4990308,Chromium containing high temperature Nb--Ti--Al alloy,
4990225,Method of manufacturing high magnetic flux density electrodeposited quaternary alloy thin film,
4990199,Oxidation-resistant and corrosion-resistant high-temperature alloy for directional solidification on the basis of an intermetallic compound of the nickel aluminide type,
4990198,High strength magnesium-based amorphous alloy,
4989064,Aluminum alloy line resistive to stress migration formed in semiconductor integrated circuit,
4988415,Method of producing an anti-wear coating including a chromium layer on a surface of a structural part of titanium or titanium-based alloy,
4987866,Light alloy piston for internal combustion engines,
4987562,Semiconductor layer structure having an aluminum-silicon alloy layer,
4987314,Actuator apparatus utilizing a shape-memory alloy,
4985401,Method for producing a superconductor of an immiscible alloy and its oxide,
4985400,Process for producing superconductive ceramics by atomization of alloy precurser under reactive atmospheres or post annealing under oxygen,
4985090,Non-ageing low-alloy hot-rolled strip-form formable steel,
4985089,Fe-base soft magnetic alloy powder and magnetic core thereof and method of producing same,
4985088,Fe-based soft magnetic alloy product,
4985073,Needle shaped alloy powders based on iron and their use,
4984581,Flexible guide having two-way shape memory alloy,
4983474,Hydroen absorbing Ni-based alloy and rechargeable alkaline battery,
4983357,"Heat-resistant TiAl alloy excellent in room-temperature fracture toughness, high-temperature oxidation resistance and high-temperature strength",
4983263,Zincate type zinc alloy electroplating bath,
4983230,Platinum-cobalt alloy permanent magnets of enhanced coercivity,
4983029,Eyeglass frame having Ti-Ni-V alloy element with improved wear comfortability,
4981741,Coating alloy,
4981647,Nitrogen strengthened FE-NI-CR alloy,
4981646,Corrosion resistant alloy,
4981527,"Tube, bar, sheet or strip made from zirconium alloy resistant both to uniform and nodular corrosion",
4981526,Composition for brazing aluminum or aluminum alloy and an aluminum or aluminum alloy product,
4981514,Method for manufacturing copper-base alloy,
4980244,"Protective alloy coatings comprising Cr-Al-Ru containing one or more of Y, Fe, Ni and Co",
4980243,Direct bonding of ceramic parts by a silver alloy solder,
4980127,Oxidation resistant titanium-base alloy,
4980123,"Process for obtaining a metallurgical bond between a metal material, or a composite material having a metal matrix, and a metal cast piece or a metal-alloy cast piece",
4980035,Bath for electrolytic deposition of a gold-copper-zinc alloy,
4979995,Member made of nickel base alloy having high resistance to stress corrosion cracking and method of producing same,
4978601,Lead alloy battery grids by laser treatment,
4977575,Adjustable aperture comprising a shape memory alloy and laser using same,
4977043,Rectangular sealed alkaline storage battery with negative electrode comprising hydrogen storage alloy,
4976917,Method of manufacturing hardwearing aluminum alloy part,
4976916,Method for producing ferrous sintered alloy product,
4976791,Heat resistant single crystal nickel-base super alloy,
4976790,Process for preparing low earing aluminum alloy strip,
4975335,Fe-Mn-Al-C based alloy articles and parts and their treatments,
4975244,Non-ferrous soft soldering lead-tin-antimony alloy compositions,
4975243,Aluminum alloy suitable for pistons,
4975125,Titanium alpha-beta alloy fabricated material and process for preparation,
4973609,Porous fluoropolymer alloy and process of manufacture,
4973522,Aluminum alloy composites,
4973446,Silver alloy compositions,
4973393,Surface-treated magnesium or magnesium-alloy and process for surface treatment of magnesium or magnesium alloy,
4973390,Process and apparatus for producing lithium from aluminum-lithium alloy scrap in a three-layered lithium transport cell,
4973369,Alloy catalyst for oxidation of hydrogen,
4973363,Aluminum alloy and method for making same,
4973024,Valve driven by shape memory alloy,
4972285,Amorphous magnetic alloy of Co-Nb-Zr system and magnetic head made from the same,
4971758,Copper-based alloy connector for electrical devices,
4971756,Method for producing dies for use in compacting permanent magnet alloy powders,
4971003,Piston of aluminum alloy for internal combustion engines,
4970179,Molybdenum disilicide alloy matrix composite,
4970128,Supported platinum alloy electrocatalyst,
4969980,Process for electroplating stainless steel strips with zinc or zinc-nickel alloy,
4969961,Sm-Fe-V magnet alloy and method of making same,
4969428,Hypereutectic aluminum silicon alloy,
4968482,Uranium-titanium-niobium alloy,
4968357,Hot-rolled alloy steel plate and the method of making,
4968356,Method of producing hardened aluminum alloy forming sheet having high strength and superior corrosion resistance,
4968348,Titanium diboride/titanium alloy metal matrix microcomposite material and process for powder metal cladding,
4966820,Ceramics-coated heat resisting alloy member,
4966662,Process for preparing praseodynium metal or praseodymium-containing alloy,
4966661,Process for preparation of neodymium or neodymium alloy,
4966636,Two-phase high damping capacity F3-Mn-Al-C based alloy,
4966626,Sintered ferro alloy having heat and wear resistance and process for making,
4966221,Method of producing aluminum alloy castings and piston made of aluminum alloy,
4966220,Evaporable foam casting system utilizing a hypereutectic aluminum-silicon alloy,
4965545,Shape memory alloy rotary actuator,
4965245,Method of producing oxide superconducting cables and coils using copper alloy filament precursors,
4965046,Creep resistant zinc-aluminum based casting alloy,
4965045,"Copper-based alloy for obtaining aluminum-beta-brasses, containing grain size reducing additives of titanium and niobium",
4964967,Surface activated alloy electrodes and process for preparing them,
4964925,Medical implant made of a stainless steel alloy,
4963440,Al-Cr alloy vapor-deposited material,
4963439,Continuous fiber-reinforced Al-Co alloy matrix composite,
4963323,Highly corrosion-resistant zirconium alloy for use as nuclear reactor fuel cladding material,
4963322,Process for the production of good fatigue strength aluminum alloy components,
4963321,Surface refined sintered alloy and process for producing the same and coated surface refined sintered alloy comprising rigid film coated on the alloy,
4963240,Sputtering alloy target and method of producing an alloy film,
4962880,Method of forming a heat exchanger with components comprising an aluminum alloy containing reduced amounts of magnesium,
4962085,Production of oxidic superconductors by zone oxidation of a precursor alloy,
4962007,Flute tubing of laminated metal including a bonded layer of precious metal alloy,
4962003,Development of fusible alloy composites,
4961781,High corrosion-and wear resistant-powder sintered alloy and composite products,
4960680,Recording elements comprising write-once thin film alloy layers,
4960564,Pyrophoric alloy complexes,
4959279,Superconducting wire containing multifilamentary superconducting alloy,
4959278,Tin whisker-free tin or tin alloy plated article and coating technique thereof,
4959276,"Heat-resistant, wear-resistant and high-strength Al-Si alloy, and cylinder liner employing same",
4959274,Multilayered iron-copper-lead alloy bearing material,
4959195,Method of forming large-sized aluminum alloy product,
4959194,High strength uranium-tungsten alloy process,
4959136,Method for making an amorphous aluminum-nitrogen alloy layer,
4958569,Wrought copper alloy-shaped charge liner,
4958431,"More creep resistant turbine rotor, and procedures for repair welding of low alloy ferrous turbine components",
4957653,"Composition containing alkane sulfonic acid and ferric nitrate for stripping tin or tin-lead alloy from copper surfaces, and method for stripping tin or tin-lead alloy",
4957594,Process for producing a zinc or zinc alloy coated steel sheet having excellent spot weldability,
4957567,Fatigue crack growth resistant nickel-base article and alloy and method for making,
4957549,"Rare earth metal-iron group metal target, alloy powder therefor and method of producing same",
4957548,Cermet alloy,
4957236,Method of brazing parts of Ti-Al-Nb alloy,
4956144,Hafnium containing Nb-Ti-Al high temperature alloy,
4956011,Iron-silicon alloy powder magnetic cores and method of manufacturing the same,
4956009,Calcium alloy steel additive and method thereof,
4955413,"A alloy product containing Li, resistance to corrosion under stress, and process to obtain said product",
4954188,High strength aluminum alloy resistant to exfoliation and method of making,
4954187,Precipitates copper-zinc alloy with nickel silicide,
4954171,Composite alloy steel powder and sintered alloy steel,
4953275,Process for manufacturing alloy wheels for vehicle tires,
4953050,Magnetic head with Ru containing soft magnetic alloy in gap,
4952686,Soluble dried cassia alloy gum composition and process for making same,
4952236,"Method of making high strength, low modulus, ductile, biocompatible titanium alloy",
4950560,Aluminum alloy and associated anode and battery,
4950451,Copper alloy for an electronic device and method of preparing the same,
4950340,Intermetallic compound type alloy having improved toughness machinability and wear resistance,
4950331,Ceramic flux for welding low-alloy steels,
4950328,End mill formed of tungsten carbide-base sintered hard alloy,
4950327,Creep-resistant alloy of high-melting metal and process for producing the same,
4948559,Alloy for building up valve,
4948557,Tarnish resistant gold colored alloy with enhanced gold color,
4948434,Method for manufacturing Ni-Fe alloy sheet having excellent DC magnetic property and excellent AC magnetic property,
4948423,Alloy preparation of hydrogen storage materials,
4946906,Process for producing polyoxymethylene-polyurethane type alloy,
4946646,Alloy for hydrogen storage electrodes,
4946501,Alloy target for magneto-optical recording,
4945750,Press forging of molybdenum or molybdenum alloy parts,
4945727,Hydraulic shape memory alloy actuator,
4944914,Titanium base alloy for superplastic forming,
4944851,Electrolytic method for regenerating tin or tin-lead alloy stripping compositions,
4944814,Aluminum-manganese-iron steel alloy,
4944801,"Process for preparing powder of an alloy of a rare earth element, iron and boron for a resin bonded magnet",
4943883,Quarternary amorphous magnetic alloy thin film and magnetic head including same,
4943483,"Palladium alloy containing gold, silver, gallium, germanium and/or lithium and dental restorations utilizing same",
4943453,"Method and coloration of parts taken among parts made of zinc, coated with zinc and made of zinc containing alloy",
4943413,Process for producing an aluminum/magnesium alloy,
4943412,High strength alpha-beta titanium-base alloy,
4943321,Synchronizer ring in speed variator made of iron-base sintered alloy,
4942998,Apparatus and process for automatically dispensing metal alloy paste material for joining metal components,
4940639,Zn-Ni alloy-plated steel sheet with improved impact adhesion,
4940566,Alloy and methods of use thereof,
4940390,Turbine system having more failure resistant rotors and repair welding of low alloy ferrous turbine components by controlled weld build-up,
4939610,Thin film magnetic head having magnetic core including a thin film of cobalt alloy,
4939316,Aluminum alloy semiconductor packages,
4939044,Aluminum alloy support for lithographic printing plate,
4938922,Gold-nickel-titanium brazing alloy,
4938921,Method of manufacturing a zirconium-based alloy tube for a nuclear fuel element sheath and tube thereof,
4938810,"Heat-resistant, wear-resistant, and high-strength aluminum alloy powder and body shaped therefrom",
4938809,"Superplastic forming consolidated rapidly solidified, magnestum base metal alloy powder",
4938276,Method and apparatus for supplying a lead alloy to a casting machine,
4937149,"Overlay alloy used for a surface layer of sliding material, sliding material having a surface layer comprising said alloy and the manufacturing method of the sliding material",
4937044,Strontium-magnesium-aluminum master alloy,
4937043,Boron alloy,
4936929,Refractory amorphous Co-Ta-Hf alloy,
4936927,Method for applying an aluminum diffusion coating to a component of titanium alloy,
4936925,Method for producing alloy of low thermal expansion,
4936270,Composite light alloy member,
4935203,Corrosion resistant aluminum alloy,
4935201,"Ferromagnetic Ni-Fe alloy, and method for manufacturing alloy article having excellent surface quality of said alloy",
4935076,Copper alloy for use as material of heat exchanger,
4935069,Method for working nickel-base alloy,
4935068,Method of treating a sample of an alloy,
4934313,Control of uniformity of growing alloy film,
4933027,"Iron-based shape-memory alloy excellent in shape-memory property, corrosion resistance and high-temperature oxidation resistance",
4933008,Heat resistant and wear resistant iron-based sintered alloy,
4933003,Metal alloy formation by reduction of polyheterometallic complexes,
4931845,Semiconductor memory device having an ohmic contact between an aluminum-silicon alloy metallization film and a silicon substrate,
4931254,Nb-Ti-Al-Hf-Cr alloy,
4931253,Method for producing alpha titanium alloy pm articles,
4930566,Method for continuous casting of an aluminum-lithium alloy,
4930494,Apparatus for bending an insertion section of an endoscope using a shape memory alloy,
4930001,Alloy bonded indium bumps and methods of processing same,
4929423,Low toxicity alloy compositions for joining and sealing,
4929420,Alloy useful particularly in dentistry,
4929419,"Heat, corrosion, and wear resistant steel alloy and article",
4929289,Iron-based shape-memory alloy excellent in shape-memory property and corrosion resistance,
4929288,Corrosion and abrasion resistant alloy,
4929275,Magnetic alloy compositions and permanent magnets,
4927715,Overlay alloy used for a surface layer of sliding material,
4927712,Fusible core alloy composites for plastics molding,
4927469,Alloy toughening method,
4927468,Process for making a martensitic steel alloy fuel cladding product,
4926242,Aluminum-silicon alloy heatsink for semiconductor devices,
4925748,Alkaline storage battery using hydrogen absorbing alloy,
4925626,Method for producing a Wc-Co-Cr alloy suitable for use as a hard non-corrosive coating,
4925084,Method of explosion welding alloy aluminium,
4923770,Amorphous metal alloy compositions for reversible hydrogen storage and electrodes made therefrom,
4923676,"Aluminium alloy parts, such as in particular rods, having an improved fatigue strength and production process",
4923579,Electrochemical process for zirconium alloy recycling,
4923575,Aqueous alkaline bath and process for electrodeposition of a zinc-iron alloy,
4923573,Method for the electro-deposition of a zinc-nickel alloy coating on a steel band,
4923513,Titanium alloy treatment process and resulting article,
4922738,Process for manufacturing a single piece alloy wheel rim for vehicle tires,
4921664,Method for producing a heat-resistant aluminum-alloy workpiece having high transverse ductility which is manufactured from a compact produced by powder metallurgy,
4921571,"Inhibited composition and method for stripping tin, lead or tin-lead alloy from copper surfaces",
4921551,Permanent magnet manufacture from very low coercivity crystalline rare earth-transition metal-boron alloy,
4921550,Delayed reflow alloy mix solder paste,
4920326,Method of magnetizing high energy rare earth alloy magnets,
4920025,Control of selenium alloy fractionation,
4919736,Aluminum alloy for abrasion resistant die castings,
4919719,High temperature wear resistant sintered alloy,
4919177,Method of treating Ti-Ni shape memory alloy,
4919133,Catheter apparatus employing shape memory alloy structures,
4918989,"Ultrasonic method of measuring the thickness of the plating on a metal tube, the corresponding apparatus and its application to Zr plated alloy tubes",
4918555,Magnetic head containing an Fe-base soft magnetic alloy layer,
4917861,Palladium alloy containing germanium and/or lithium and dental restorations utilizing same,
4917860,Corrosion resistant alloy,
4917779,"Process for the formation of fluoroplastic coating on surface of zinc, zinc alloy or zinc plating",
4917728,Aluminium alloy treatment,
4917359,Apparatus for making hypereutectic Al-Si alloy composite materials,
4916795,Method for mending a dent on a member made of aluminum alloy,
4916285,Capacitor foil of aluminum or an aluminum alloy,
4915898,Method for the continuous fabrication of comminuted hydrogen storage alloy material negative electrodes,
4915799,Electrolytic coloring method for chromium alloy,
4915752,Corrosion resistant alloy,
4915751,Accelerated whisker growth on iron-chromium-aluminum alloy foil,
4915738,Alloy target for manufacturing a magneto-optical recording medium,
4915737,Alloy target for manufacturing a magneto-optical recording medium,
4915735,Wear-resistant sintered alloy and method for its production,
4915734,Cemented carbonitride alloy with improved toughness behaviour,
4915728,Iron/cobalt alloy filaments,
4914908,Actuator used shape memory alloy and display conversion device of signs,
4913749,Process for case-hardening rolling bearing elements of low-alloy nickeliferous steel,
4913745,Method for producing a rare earth metal-iron-boron anisotropic bonded magnet from rapidly-quenched rare earth metal-iron-boron alloy ribbon-like flakes,
4913731,Process of making prealloyed tungsten alloy powders,
4912543,Integrated semiconductor circuit having an external contacting track level consisting of aluminum or of an aluminum alloy,
4911884,High strength non-magnetic alloy,
4911798,Palladium alloy plating process,
4911768,Co-substitute Ni-base wear resistance alloy for hard surfacing,
4911763,Process for producing a low alloy white cast iron,
4911037,"Method of mounting cutters or the like of high-alloy tool steel on a tool supporting member, and tools made in accordance with this method",
4910580,"Method for manufacturing a low-impedance, planar metallization composed of aluminum or of an aluminum alloy",
4910098,High temperature metal alloy mixtures for filling holes and repairing damages in superalloy bodies,
4910097,Zinc alloy-plated corrosion preventive steel sheet having an organic coating layer thereon and a method for making the same,
4909861,"Aluminum alloy sheet having good weldability, filiform corrosion resistance, formability, and bake-hardenability, and a method for manufacturing the same",
4909858,Method for producing an aluminum alloy,
4909843,Highly wear-resistant iron-nickel-copper-molybdenum sintered alloy with addition of phosphorous,
4909198,Aluminum alloy valve lifter with sprayed coating and method of producing same,
4909058,Method of controlled rod or wire rolling of alloy steel,
4908943,Method of forming lead terminals on aluminum or aluminum alloy cables,
4908077,Scroll made of aluminum alloy,
4908072,In-process formation of hard surface layer on Ti/Ti alloy having high resistance,
4907948,"Non-evaporable ternary gettering alloy, particularly for the sorption of water and water vapor in nuclear reactor fuel elements",
4907947,Heat treatment for dual alloy turbine wheels,
4907734,Method of bonding gold or gold alloy wire to lead tin solder,
4907377,Directional catalyst alloy sweep through process for preparing diamond compacts,
4906540,Lead-acid battery having a grid base of a lead-calcium alloy and a layer of lead-antimony-stannum alloy roll-bonded to the grid base,
4906438,Ni base alloy for spark plug electrodes of internal combustion engine,
4906437,Corrosion resistant hot and cold forming parts of Ni-Cr-Mo alloy and method of making same,
4906436,High strength oxidation resistant alpha titanium alloy,
4906430,Titanium diboride/titanium alloy metal matrix microcomposite material and process for powder metal cladding,
4906307,Flux used for brazing aluminum-based alloy,
4905765,Smoke detector/remote controlled shape-memory alloy fire extinguisher discharge apparatus,
4904577,Optical recording element and alloy for use therein,
4904543,"Compositionally modulated, nitrided alloy films and method for making the same",
4904447,Low thermal expansion casting alloy having excellent machinability,
4904424,Ceramic alloys from colloidal metal alloy suspensions,
4903888,Turbine system having more failure resistant rotors and repair welding of low alloy ferrous turbine components by controlled weld build-up,
4902779,Compositions of inorganic -organic alloy with highly charged nitrogen content polymers and their manufacture,
4902625,Rapid corrosion test for zirconium and zirconium alloy weldments,
4902579,Amorphous metal alloy compositions for reversible hydrogen storage,
4902475,Aluminum alloy and master aluminum alloy for forming said improved alloy,
4902360,Permanent magnet alloy for elevated temperature applications,
4902359,Wear-resistant titanium or titanium-alloy member and a method for manufacturing the same,
4902355,Method of and a spray for manufacturing a titanium alloy,
4902341,Method for producing titanium alloy,
4901908,"Aluminum material for brazing, method of manufacturing same, and method of manufacturing heat exchanger made of aluminum alloy",
4900635,Multi-alloy turbine rotor disk,
4900587,Method for producing aluminum oxide coated iron-aluminum alloy powder,
4900510,High strength and corrosion resistant titanium alloy having excellent corrosion-wear properties,
4900078,Gripping device utilizing a shape memory alloy,
4899702,Aluminum alloy piston and piston-ring assembly treated to suppress agglutination of the piston alloy to a piston-ring,
4898794,"Hydrogen absorbing Ni,Zr-based alloy and rechargeable alkaline battery",
4898652,Polyoxalkylated polyhydroxy compounds as additives in zinc alloy electrolytes,
4898625,Method for producing a rare earth metal-iron-boron permanent magnet by use of a rapidly-quenched alloy powder,
4898622,Ornamental alloy material and method,
4898613,Rare earth alloy powder used in production of permanent magnets,
4897519,"More creep resistant turbine rotor, and procedures for repear welding of low alloy ferrous turbine components",
4897243,Ductile brazing alloy of copper-nickel-silicon-titanium,
4897124,Aluminum-alloy rolled sheet for forming and production method therefor,
4896815,Method for forming titanium aluminide-ductile titanium aluminum alloy matrix composites,
4896521,Process for manufacturing a tubular semifinished copper alloy part,
4895701,Gold colored alloy composition with zero percent gold,
4895516,Intermediate ceramic bonding layer for bonding of a resin to an alloy structure or substructure,
4895345,Valve socket for the accommodation of the gas bottle valve of compressed gas container made of high-alloy chrome-nickel steels,
4894742,Thin-film laminated magnetic heads of Fe-Si-Al alloy,
4894295,Metal-alloy air battery,
4894100,Ti-Ni-V shape memory alloy,
4892628,Electrodeposition of amorphous ternary nickel-chromium-phosphorus alloy,
4892579,Process for preparing an amorphous alloy body from mixed crystalline elemental metal powders,
4891422,Compositions of inorganic-organic alloy with high nitrogen content polymers and their manufacture,
4891330,Method of fabricating n-type and p-type microcrystalline semiconductor alloy material including band gap widening elements,
4891183,Method of preparing alloy compositions,
4891080,"Workable boron-containing stainless steel alloy article, a mechanically worked article and process for making thereof",
4891079,High saturated magnetic flux density alloy,
4889626,Filter cartridge having a tunable asymmetric fluoropolymer alloy filter membrane,
4889602,Electroplating bath and method for forming zinc-nickel alloy coating,
4889582,Age hardenable dispersion strengthened high temperature aluminum alloy,
4889557,Aluminium alloy having an excellent forgiability,
4889177,Method and apparatus for sand moulding composite articles with a die made of light alloy and a fibrous insert,
4889170,High strength Ti alloy material having improved workability and process for producing the same,
4888303,Vapor phase epitaxy-hydride technique with a constant alloy source for the preparation of InGaAs layers,
4888153,Fe-base build-up alloy excellent in resistance to corrosion and wear,
4887519,Expansion-controlled light alloy piston,
4886710,Mining/construction tool bit having bit body fabricated from Mn-B steel alloy composition,
4886641,Electrical contact spring material made of copper base alloy of high strength and toughness with reduced anisotropy in characteristics,
4886557,Magnesium alloy,
4886449,Vacuum brazing of aluminum alloy workpieces,
4885614,Semiconductor device with crystalline silicon-germanium-carbon alloy,
4885273,Method of producing a superconducting wire using alloy preform,
4885135,Fine gold alloy wire for bonding of a semi-conductor device,
4885133,Wear-resistant sintered iron-based alloy and process for producing the same,
4885132,Cemented carbonitride alloy with improved plastic deformation resistance,
4885028,Process for producing prealloyed tungsten alloy powders,
4884557,Endoscope for automatically adjusting an angle with a shape memory alloy,
4883745,Silver-copper-titanium brazing alloy containing crust inhibiting element,
4883723,Hot dip aluminum coated chromium alloy steel,
4883640,Titanium-niobium-nickel brazing alloy,
4882126,High-strength zinc base alloy,
4882022,Process and apparatus for sputter coating a gold alloy onto a substrate,
4882017,Method and apparatus for making light metal-alkali metal master alloy using alkali metal-containing scrap,
4881989,Fe-base soft magnetic alloy and method of producing same,
4881986,Method for producing a rare earth metal-iron-boron anisotropic sintered magnet from rapidly-quenched rare earth metal-iron-boron alloy ribbon-like flakes,
4881984,Consolidation of magnet alloy powders by extrusion and product therefrom,
4881981,Method for producing a shape memory alloy member having specific physical and mechanical properties,
4881681,Process for modifying the surface of metal or metal alloy substrates and surface modified products produced thereby,
4880709,Welded aluminum alloy composite,
4880597,Alloy coated fuel cladding,
4880507,"Tin, lead or tin/lead alloy electrolytes for high speed electroplating",
4880482,Highly corrosion-resistant amorphous alloy,
4880343,Lock nut having lock member of shape memory recovery alloy,
4879346,Blends of a silicone-polycarbonate block copolymer with a compatibilized alloy of polyphenylene ether resin/polyester resin,
4879093,Ductile irradiated zirconium alloy,
4878966,Wrought and heat treated titanium alloy part,
4878964,Permanent magnetic alloy and method of manufacturing the same,
4878954,Process for improving the ductility of a product of alloy involving martensitic transformation and use thereof,
4878733,"Optical fiber communication cable having a high strength, drawn copper alloy tube",
4877577,Copper alloy lead frame material for semiconductor devices,
4877496,Zinc-nickel alloy plating solution,
4877465,Structural parts of austenitic nickel-chromium-iron alloy,
4877461,Nickel-base alloy,
4876065,Corrosion-resisting Fe-Ni-Cr alloy,
4875518,Method of and apparatus for low-pressure casting of light metal alloy,
"RE33,092",High strength weldable aluminum base alloy product and method of making same,
4874642,"Method for depositing a hard, fine-grained, non-columnar alloy of tungsten and carbon on a substrate",
4874578,Aluminium alloy for superplastic forming,
4874577,Wear-resistant intermetallic compound alloy having improved machineability,
4874439,Synchronizer ring in speed variator made of wear-resistant copper alloy having high strength and toughness,
4873055,Corrosion resistant Fe-Ni-Cr alloy,
4872932,Method for making rubbery composite materials by plating a metal substrate with a cobalt alloy,
4872927,Method for improving the microstructure of titanium alloy wrought products,
4872921,"Sheets of aluminium alloy containing magnesium, suitable for producing bodies of cans by drawing and ironing, and method of obtaining said sheets",
4872048,Semiconductor device having copper alloy leads,
4871438,Cermet anode compositions with high content alloy phase,
4871437,Cermet anode with continuously dispersed alloy phase and process for making,
4871399,Copper alloy for use as wiring harness terminal material and process for producing the same,
4869871,Pb-Sn-Sb-In solder alloy,
4869758,Iron/copper/chromium alloy material for high-strength lead frame or pin grid array,
4868067,Cooperating slidable aluminum alloy members,
4868065,Alloy tool of hard metal,
4867858,Insoluble anode made of lead alloy,
4867806,Heat-resisting high-strength Al-alloy and method for manufacturing a structural member made of the same alloy,
4867805,"Superplastic aluminum alloys, alloy processes and component part formations thereof",
4867785,Method of forming alloy particulates having controlled submicron crystallite size distributions,
4867224,Method of manufacturing castings of active metal or alloy thereof having unidirectional solidification structure,
4865955,Recording elements comprising write-once thin film alloy layers,
4865876,Process for selectively forming at least one metal or alloy coating strip on a substrate of another metal and integrated circuit lead frame achieved by this process,
4865809,Copper-free gold alloy composition,
4865808,Method for making hypereutetic Al-Si alloy composite materials,
4865805,"Low-sulfur, lead-free alloy",
4865665,Metal alloy with large lattice spacing,
4865664,Amorphous alloy strips having a large thickness and method for producing the same,
4865662,Aluminum-manganese-iron stainless steel alloy,
4865658,Oxygen-containing ferromagnetic amorphous alloy and method of preparing the same,
4865654,Delayed reflow alloy mix solder paste,
4865651,Method of making an aluminum base alloy anode,
4864824,Thin film shape memory alloy and method for producing,
4864706,Fabrication of dual alloy integrally bladed rotors,
4864188,Ni-Fe base alloy sheet for use as a shadow mask and a shadow mask employing the same,
4863682,Austenitic stainless steel alloy,
4863661,Resin molding process employing a mickel-based alloy liner,
4863528,Aluminum alloy product having improved combinations of strength and corrosion resistance properties and method for producing the same,
4863526,Fine crystalline thin wire of cobalt base alloy and process for producing the same,
4863513,Iron-base anti-wear sintered alloy member,
4861679,Composite material of Zn-Al alloy reinforced with silicon carbide powder,
4861550,Corrosion-resistant nickel-base alloy having high resistance to stress corrosion cracking,
4861442,Zinc-nickel alloy plating bath and plating method,
4861396,Aluminum alloy material plate for printing,
4861391,Aluminum alloy two-step aging method and article,
4861389,Al-Mg-Si extrusion alloy and method,
4861386,Enhanced cleaning procedure for copper alloy equipment,
4861370,Process for treating molten aluminum alloy with powdered flux,
4860542,Piston-cylinder pulsator circuit with superplastic alloy pressure transmitting medium,
4859417,"Copper-based metal alloy of improved type, particularly for the construction of electronic components",
4859414,Alloy for disk rotor,
4859411,Control of selenium alloy fractionation,
4859258,Method of manufacturing a flexible electric cable including a conductor comprising a plurality of fine strands of aluminum or aluminum alloy,
4859252,High damping capacity alloy and a process for producing the same,
4859240,Dental amalgam alloy,
4859164,Ferrous sintered alloy vane and rotary compressor,
"RE33,022",Ferromagnetic amorphous alloy,
4857569,Polymer alloy compositions of rod-like aromatic polyamides and polyurethanes,
4857409,Clear barrier composites containing polyisobutylene/polyolefin alloy components,
4857269,"High strength, low modulus, ductile, biopcompatible titanium alloy",
4857267,Aluminum base bearing alloy and method of producing same,
4857156,Separating a ferro alloy,
4857108,Cemented carbonitride alloy with improved plastic deformation resistance,
4856462,Cylinder block made of fiber-reinforced light alloy for internal combustion engine,
4856039,X-ray tube having a rotary anode with rhenium-containing bearing surfaces for a gallium-alloy lubricant,
4855362,Polymer alloy,
4855107,Aluminium alloy for thin metal sheets which are suitable for the production of can lids and bodies and a process for manufacturing said metal sheets,
4855106,Low alloy steels for use in pressure vessel,
4855021,"Method for electroplating a steel strip with a coating metal, in particular zinc or a zinc-containing alloy",
4854977,Process for treating titanium alloy parts for use as compressor disks in aircraft propulsion systems,
4853185,Nitrogen strengthened Fe-Ni-Cr alloy,
4853183,Air meltable castable corrosion resistant alloy and its process thereof,
4853179,"Method of manufacturing heat resistant, high-strength structural members of sintered aluminum alloy",
4853093,Aluminum or an aluminum alloy support material for use in offset printing plates,
4853049,Nitriding grade alloy steel article,
4853048,"Permanent magnetic alloy comprising gold, platinum and cobalt",
4853045,Method for the manufacture of rare earth transition metal alloy magnets,
4853044,Alloy suitable for making single crystal castings,
4852789,Process for modifying the surface of metal or metal alloy substrates and surface modified products produced thereby,
4851299,Alloy foil for diffusion welding silicon carbide molded parts together or with ceramic or metal parts,
4851296,Process for the production of multi-metallic amorphous alloy coatings on a substrate and product,
4851193,High temperature aluminum-base alloy,
4851192,Aluminum alloy for structures with high electrical resistivity,
4851190,Method of making a multi-alloy turbine rotor disk,
4851093,Selective decomposition of a chromium carbide coating from a chromium carbide coated nickel alloy substrate,
4851077,Chemical milling of lithium aluminum alloy,
4851055,Method of making titanium alloy articles having distinct microstructural regions corresponding to high creep and fatigue resistance,
4851053,Method to produce dispersion strengthened titanium alloy articles with high creep resistance,
4849312,Hydrogen storage alloy electrode and method for preparing the same,
4849303,Alloy coatings for electrical contacts,
4849169,High temperature creep resistant austenitic alloy,
4849072,Electrolytic process for recovering lithium from aluminum-lithium alloy scrap,
4849034,Thermal treatment for increasing magnetostrictive response of rare earth-iron alloy rods,
4849033,Annealing Group III-V compound doped silicon-germanium alloy for improved thermo-electric conversion efficiency,
4848647,Aluminum base copper-lithium-magnesium welding alloy for welding aluminum lithium alloys,
4847675,Stable rare-earth alloy graded junction contact devices using III-V type substrates,
4847046,Ultra-low temperature alloy and process for manufacturing the same,
4847045,Process for producing tungsten heavy alloy sheet,
4846948,Method of producing magnetic films of Fe-Si-Al alloy,
4846942,Process for producing a film of Sm-Co alloy,
4846941,Electroplating bath and process for maintaining plated alloy composition stable,
4846885,High molybdenum nickel-base alloy,
4846573,Shape memory effect alloy pull wire articulator for borescopes,
